Property ID,Locality name,Postal code,Price,Number of rooms,Living area (m²)
Immoweb code : 20240478,Lierde,9570,"€398,175 - €431,925",3 bedrooms,
Immoweb code : 20240433,Zulte Machelen,9870,"€399,000",3 bedrooms,
Immoweb code : 20240694,Noorderwijk,2200,"€430,000 - €525,000",3 bedrooms,
Immoweb code : 20239563,Bruxelles,1000,"€615,000 - €765,000",3 - 4 bedrooms,
Immoweb code : 20239414,Ukkel,1180,"€774,500 - €808,500",3 bedrooms,
Immoweb code : 20239506,Ixelles,1050,"€1,200,000 - €1,375,000",5 - 6 bedrooms,
Immoweb code : 20241273,FLEURUS,6220,"€315,000",2 bedrooms,"100

                                    
                                                                                     
                                            square meters"
Immoweb code : 20240024,Averbode,3271,"€336,500",4 bedrooms,
Immoweb code : 20236365,,,"€347,400 - €394,600",4 bedrooms,
Immoweb code : 20236677,AALST,9300,"€349,000",2 bedrooms,
Immoweb code : 20236132,Gavere,9890,"€365,000 - €397,000",3 bedrooms,
Immoweb code : 20235803,Merendree,9850,"€370,000 - €396,000",3 bedrooms,
Immoweb code : 20236252,Wetteren,9230,"€404,500 - €450,000",3 - 4 bedrooms,
Immoweb code : 20239119,Noorderwijk,2200,"€430,000 - €525,000",3 bedrooms,
Immoweb code : 20235883,Sint-Denijs-Westrem,9051,"€458,000 - €465,000",4 bedrooms,
Immoweb code : 20235884,Gentbrugge,9050,"€467,000 - €547,500",3 bedrooms,
Immoweb code : 20235186,BRUXELLES,1130,"€481,000 - €521,000",4 bedrooms,
Immoweb code : 20235194,Machelen,1830,"€481,000 - €506,000",4 bedrooms,
Immoweb code : 20235621,Gent,9000,"€498,000 - €585,000",4 bedrooms,
Immoweb code : 20235882,Zwijnaarde,9052,"€679,000 - €725,000",3 bedrooms,
Immoweb code : 20240496,Waregem,8790,"€299,000",4 bedrooms,"354

                                    
                                                                                     
                                            square meters"
Immoweb code : 20239177,Elzele,7890,"€349,000",3 bedrooms,"138

                                    
                                                                                     
                                            square meters"
Immoweb code : 20238847,Ronse,9600,"€349,000",3 bedrooms,"138

                                    
                                                                                     
                                            square meters"
Immoweb code : 20233894,Deinze,9800,"€337,000 - €383,011",3 bedrooms,
Immoweb code : 20232703,Waasmunster,9250,"€455,000",3 bedrooms,
Immoweb code : 20232704,Oostduinkerke,8670,"€473,000",3 bedrooms,
Immoweb code : 9397247,Brugge,8000,"€485,000",4 bedrooms,
Immoweb code : 20235436,OLEN,2250,"€543,000",3 bedrooms,
Immoweb code : 20236558,ANTWERPEN,2018,"€389,900",3 bedrooms,"150

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236560,BORGERHOUT,2140,"€389,900",3 bedrooms,"150

                                    
                                                                                     
                                            square meters"
Immoweb code : 20241001,ZELZATE,9060,"€369,000",3 bedrooms,"149

                                    
                                                                                     
                                            square meters"
